Recipient,Token Allocated
2280,17623.49
2630,17735.61
3080,17332.53
3936,17054.35
6397,17350.98
3504,17742.71
5578,15339.85
6261,16942.22
6264,16942.22
2033,17878.95
3792,49628.47
967,15911.82
1455,18739.04
2290,17404.91
2684,17241.7
3396,16466.76
4385,18686.53
2971,18739.04
3388,18739.04
3986,18739.04
5592,18739.04
1016,30807.45
1031,31099.82
1039,31261.62
1052,34565.72
1074,30594.55
1094,35002.86
1116,31423.42
1129,30665.52
1134,31156.59
1138,32820
1175,28897.08
1229,32374.34
1246,30779.06
1251,34900.67
1256,29870.71
1282,31048.72
1287,34494.76
1293,30977.76
1294,30864.22
1323,33146.43
1337,34809.84
1341,34639.52
1349,35874.31
1351,36141.13
1353,36141.13
1383,34721.84
1405,33569.38
1453,30594.55
1471,30835.83
1472,32726.32
1519,31162.27
1532,31525.61
1536,31105.5
1556,30182.96
1579,34355.67
1581,34355.67
1583,34355.67
1585,34355.67
1588,34355.67
1679,33799.31
1690,30310.69
1692,30597.39
1710,30225.54
1759,30693.9
1780,30594.55
1792,31006.15
1805,31048.72
1819,33668.73
1850,30779.06
1858,31752.69
1864,37478.1
1869,29019.14
1874,31525.61
1878,30807.45
1881,31312.71
1926,31923.01
1966,32902.32
1995,31108.33
2017,31360.97
2043,37026.77
2079,35371.88
2113,30779.06
2140,32885.28
2144,31162.27
2161,31375.16
2200,30821.64
2201,30821.64
2243,31074.27
2245,30912.47
2274,30529.26
2302,33129.4
2319,30824.48
2333,30835.83
2342,30324.89
2345,37478.1
2356,30268.12
2360,30779.06
2363,29572.66
2371,30293.66
2390,30980.6
2395,30821.64
2397,30665.52
2440,31386.51
2442,31221.88
2445,30821.64
2449,31105.5
2465,30821.64
2469,30438.43
2472,37023.93
2537,30949.37
2569,31755.53
2572,31641.99
2591,36212.1
2616,31511.41
2617,31511.41
2645,31074.27
2662,30779.06
2669,33878.79
2689,33447.32
2695,32311.89
2736,30779.06
2738,30551.97
2767,30821.64
2781,31517.09
2836,29672.01
2867,31454.64
2887,31346.77
2891,31250.26
2903,26055.67
2947,37302.11
2959,31062.92
3032,34122.9
3095,30779.06
3117,30779.06
3137,30713.77
3141,30821.64
3159,31003.31
3163,30779.06
3178,30779.06
3192,30779.06
3202,31403.55
3254,30046.71
3278,32936.38
3309,31539.8
3313,30926.67
3323,33822.01
3339,31051.56
3347,34778.61
3442,31571.02
3444,34579.91
3463,35658.57
3468,30779.06
3497,30322.05
3566,34327.28
3571,32842.71
3582,30779.06
3618,31710.11
3674,30722.29
3698,30807.45
3700,31525.61
3702,31176.46
3704,30835.83
3719,34832.55
3734,34355.67
3736,34355.67
3738,32099
3764,30773.38
3768,30481.01
3786,30594.55
3814,30435.59
3818,30835.83
3834,32394.21
3864,30821.64
3938,34818.35
3941,34775.78
3979,30807.45
3983,31119.69
3998,29870.71
4032,32235.25
4036,31525.61
4040,30481.01
4041,31539.8
4047,31888.94
4048,31888.94
4051,30722.29
4061,35093.7
4068,30821.64
4108,30750.67
4143,31948.55
4184,32907.99
4208,30804.61
4247,31244.59
